Race_DriverNumber,Race_Abbreviation,Race_DriverId,Race_TeamName,Race_TeamId,Race_FirstName,Race_LastName,Race_FullName,Race_Position,Race_ClassifiedPosition,Race_GridPosition,Race_Time,Race_Status,Race_Points,Race_Laps,Qual_Position,Qual_Q1,Qual_Q2,Qual_Q3,Year,Round,EventName
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,2.0,0 days 01:48:15.565000,Finished,25.0,57.0,2.0,0 days 00:01:26.934000,0 days 00:01:24.796000,0 days 00:01:24.197000,2016,1,Australian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,1.0,0 days 00:00:08.060000,Finished,18.0,57.0,1.0,0 days 00:01:25.351000,0 days 00:01:24.605000,0 days 00:01:23.837000,2016,1,Australian Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,0 days 00:00:09.643000,Finished,15.0,57.0,3.0,0 days 00:01:26.945000,0 days 00:01:25.257000,0 days 00:01:24.675000,2016,1,Australian Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,8.0,0 days 00:00:24.330000,Finished,12.0,57.0,8.0,0 days 00:01:26.945000,0 days 00:01:25.599000,0 days 00:01:25.589000,2016,1,Australian Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,5.0,5,6.0,0 days 00:00:58.979000,Finished,10.0,57.0,6.0,0 days 00:01:25.918000,0 days 00:01:25.644000,0 days 00:01:25.458000,2016,1,Australian Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,6.0,6,19.0,0 days 00:01:12.081000,Finished,8.0,57.0,19.0,0 days 00:01:28.322000,,,2016,1,Australian Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,7.0,7,10.0,0 days 00:01:14.199000,Finished,6.0,57.0,10.0,0 days 00:01:26.550000,0 days 00:01:25.865000,,2016,1,Australian Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,8.0,8,16.0,0 days 00:01:15.153000,Finished,4.0,57.0,11.0,0 days 00:01:27.135000,0 days 00:01:25.961000,,2016,1,Australian Grand Prix
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,9.0,9,7.0,0 days 00:01:15.680000,Finished,2.0,57.0,7.0,0 days 00:01:27.057000,0 days 00:01:25.384000,0 days 00:01:25.582000,2016,1,Australian Grand Prix
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,10.0,10,5.0,0 days 00:01:16.833000,Finished,1.0,57.0,5.0,0 days 00:01:26.934000,0 days 00:01:25.615000,0 days 00:01:25.434000,2016,1,Australian Grand Prix
